201612310060000600000000000000724576000000000000007245769900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724577000000000000007245779900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724578000000000000007245789900000000000000000000Consumidor Final              000000000067000000000000067000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724579000000000000007245799900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724580000000000000007245809900000000000000000000Consumidor Final              000000000070600000000000070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724581000000000000007245819900000000000000000000Consumidor Final              000000000070600000000000070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724583000000000000007245839900000000000000000000Consumidor Final              000000000099000000000000099000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724584000000000000007245849900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724591000000000000007245919900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724592000000000000007245929900000000000000000000Consumidor Final              000000000070600000000000070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505224000000000000005052249900000000000000000000Consumidor Final              000000000070600000000000070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724593000000000000007245939900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724594000000000000007245949900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724595000000000000007245959900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505225000000000000005052259900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505226000000000000005052269900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724596000000000000007245969900000000000000000000Consumidor Final              000000000070600000000000070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505227000000000000005052279000000000099999999999Consumidor Final              000000000760500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020170110
201612310060000600000000000000724597000000000000007245979900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505228000000000000005052289900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724620000000000000007246209900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724621000000000000007246219900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724622000000000000007246229900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
